timestamp,client_user_id,chat_id,question,model_output,first_token_time,final_token_time,token_count
2026-06-15 07:26:20,4f6c6012-8f49-42d2-9932-38abeeb6d7e3,8ee2eddb-fc22-46c3-9d9b-aed222ee9812,投保單位變更事項申請表可傳真嗎,關於投保單位變更事項申請表的下載，您可以前往健保署網站獲取，連結如下：https://www.nhi.gov.tw/ch/cp-1748-4ed7f-3294-1.html,1.5624315198510885,2.5521697849035263,23
2026-06-15 07:26:21,44a8ea65-808c-4c62-83f7-35a71f1746b3,67ec72cb-5241-4112-a7e7-1ab788a35907,軍中眷屬的戶籍一定要在一起才可以保健保嗎？,很抱歉，提供的資料中並沒有關於軍中眷屬投保是否需要戶籍在一起的相關說明。,1.8464411720633507,1.9707489181309938,6
2026-06-15 07:26:21,a3f371e3-c33d-4169-aa31-02da10ac7e71,444b0e65-2b17-492b-8958-c56f2c0db8da,無謀生能力者資格說明,關於無謀生能力者的資格，是指符合以下其中一種情況的人員：1.目前受監護宣告且尚未撤銷。2.持有社政主管機關核發的身心障礙證明或手冊，且無法自行謀生。3.符合全民健康保險法第四十八條定義的重大傷病，且無法自行謀生。,1.6084983721375465,3.069127842783928,39
2026-06-15 07:26:25,e6cd2244-2b5f-49a9-87fa-8b5cceec52d9,f694420f-43eb-4534-9684-bf2718ef968c,信託財產之補充保險費扣繳時機,關於信託財產補充保險費的扣繳時機，分為以下兩種情況：. 若屬於所得稅法第3-4條第5 項及第項定義的信託基金或公益信託，扣費義務人在將信託利益「實際分配」給受益人時應扣取，並在此時確認扣取資格。. 除上述情況外的其他信託財產，則是在收入「計算」進入信託專戶時由扣費義務人扣取，並同步確認扣取資格。,1.910873332992196,4.944754721596837,56
2026-06-15 07:26:25,cc452cf4-4e01-498f-98a3-ff67769e8124,637a6c82-f85e-42c7-b933-258cc68ac0d8,不同公司所發放獎金累計之補充保險費扣繳,關於不同公司發放獎金的補充保險費扣繳，說明如下：由於補充保險費是由扣費義務人在給付時直接扣除，個別企業無法得知其他單位的發放情況，在實務執行上難以將不同公司間的獎金進行累計。因此，若您的獎金來源於不同的公司，不需要合併累計計算。,1.8834927137941122,4.033620323985815,39
2026-06-15 07:26:25,8b3a0804-c808-4bbd-8816-04804f5c5081,2ed0c221-6617-4a01-b7f6-e8fe4a536a0c,補充保險費計算釋例一-利息所得,很抱歉，我目前的資料中沒有關於「補充保險費計算釋例一-利息所得」的相關內容，無法為您解答。,2.0518422815948725,2.298865592107177,10
2026-06-15 07:26:29,5a1f4b9c-a6d6-44d0-a366-e72d3e23637a,ef56a10f-7fb4-485a-83da-75577defd86e,已年滿55歲，具原住民身分，可獨自投保戶籍地公所，不依附子女當眷屬嗎？,如果您是年滿歲的原住民，且目前沒有職業、不具備工農漁會會員資格，同時也沒有子女或配偶可以依附投保，那麼您可以前往公所辦理投保，且健保費用將由原住民族委員會全額補助。,2.077689692378044,4.319350719451904,28
2026-06-15 07:26:30,4fae5f10-d4c7-485d-a252-4da60fe54acd,d6854de7-7be3-4a3a-8841-96bda9010484,股票股利扣繳補充保險費之原因,由於現行的所得稅法將股票股利視為股利所得，而健保法規定股利所得必須計收補充保險費，因此股票股利依法仍需扣繳補充保險費。,2.8309864588081837,3.710669694468379,16
2026-06-15 07:26:30,d942194e-4589-4954-a7a6-90ac030089a7,2503e7b9-d40e-4a3d-9604-5c14eff004fc,外籍配偶如何辦健保（ex：越南、泰國）？,外籍配偶在臺灣領有居留證明文件後，可依以下情況辦理健保加保：. **有受僱工作者**：自受僱之日起即可在工作單位辦理加保。2.**非受僱者**：在領有居留證明文件後，需在臺灣連續居住滿個月（若曾出境一次且未超過日，扣除出境日數後累計達6 個月亦可），即可以眷屬身分依附配偶投保。3.**外國專業人才之配偶**：若其配偶屬於受聘僱從事專業工作，或是具備雇主或自營業主資格的外國特定/高級專業人才，且領有居留證明文件者，可參加健保，不受在臺居留滿 6 個月的限制。,2.3505674079060555,7.920636558905244,92
2026-06-15 07:26:32,c3085d49-f7cd-4396-8c08-6b7d7548fba9,00759eca-747e-4b31-816a-30fefc961501,個人紓困申貸問題,關於個人紓困基金的申貸，被保險人在填寫「全民健康保險紓困基金貸款申請書」時，需要先約定好還款的期數。在申貸受理的一年後，請在每月繳納期限前，透過健保署開立的繳款單，選擇前往指定金融機構臨櫃、使用網路ATM或至便利商店繳納即可。,2.1850557513535023,5.038172338157892,39
2026-06-15 07:26:33,e2f87489-02ec-463f-adcd-156a9898710a,4ef39076-800d-4d97-af9b-7fcf68f0177d,個人紓困申貸問題,關於個人紓困申貸，全民健康保險紓困基金提供被保險人採取分期還款的方式。申請人在填寫「全民健康保險紓困基金貸款申請書」時，必須先約定好還款的期數。在申貸受理日的一年之後，您需在每月繳納期限前，透過健保署開立的繳款單，選擇至指定的金融機構臨櫃繳納、使用網路ATM或前往便利商店繳納即可。,2.7041257563978434,6.201705563813448,52
2026-06-15 07:26:35,cfca2c52-357f-47b0-8e1e-7178fff0edaf,2dbfd20c-ab2a-4de3-b29a-19f71b43e805,醫療服務審查制度審畢評量作業之定義,醫療服務審查制度審畢評量作業所指的審畢案件，是指那些已經由審查醫藥專家完成審查，且是由保險特約醫事服務機構所申報的醫療費用案件。,2.096249656751752,4.160515416413546,21
